t,D_output
9854,-0.6906959722945946
9855,-0.7037414110010439
9856,-0.7168065042836712
9857,-0.7298898044458219
9858,-0.7429897570245352
9859,-0.7561046981799485
9860,-0.7692328521262295
9861,-0.7823723286439308
9862,-0.7955211205982966
9863,-0.8086771014922202
9864,-0.8218380231359738
9865,-0.835001513400567
9866,-0.848165074082657
9867,-0.8613260787913117
9868,-0.874481771015593
9869,-0.8876292623068713
9870,-0.9007655306262728
9871,-0.9138874187950853
9872,-0.9269916331411738
9873,-0.940074742326065
9874,-0.9531331763569117
9875,-0.9661632258192219
9876,-0.979161041335137
9877,-0.9921226332585081
9878,-1.0050438716033192
9879,-1.0179204862296771
9880,-1.0307480673798537
9881,-1.0435220664590825
9882,-1.0562377971262995
9883,-1.0688904367426797
9884,-1.0814750281604517
9885,-1.0939864818338407
9886,-1.106419578252276
9887,-1.1187689709044546
9888,-1.1310291895315157
9889,-1.1431946437392608
9890,-1.1552596271074154
9891,-1.1672183217298848
9892,-1.1790648031264526
9893,-1.1907930455191145
9894,-1.2023969277475393
9895,-1.2138702395124394
9896,-1.225206687983766
9897,-1.2363999049423247
9898,-1.2474434544332353
9899,-1.2583308407518197
9900,-1.269055516773165
9901,-1.2796108929314591
9902,-1.2899903464983584
9903,-1.3001872311876292
9904,-1.3101948871757896
9905,-1.3200066516213886
9906,-1.3296158693995863
9907,-1.3390159040913967
9908,-1.3482001494376037
9909,-1.3571620409942997
9910,-1.365895067984377
9911,-1.374392785346682
9912,-1.3826488260557273
9913,-1.3906569134946516
9914,-1.3984108739332919
9915,-1.4059046490736746
9916,-1.413132308600985
9917,-1.420088062716646
9918,-1.4267662746290528
9919,-1.4331614728185804
9920,-1.4392683631964218
9921,-1.4450818411545259
9922,-1.450597003207729
9923,-1.455809158300846
9924,-1.4607138388675713
9925,-1.465306811631275
9926,-1.4695840875620898
9927,-1.473541931562131
9928,-1.4771768717906129
9929,-1.480485708231641
9930,-1.4834655204738558
9931,-1.4861136750776032
9932,-1.488427832489899
9933,-1.4904059526739897
9934,-1.4920463002693747
9935,-1.4933474491648264
9936,-1.4943082862163193
9937,-1.4949280137971992
9938,-1.4952061518647497
9939,-1.4951425393973052
9940,-1.4947373345245054
9941,-1.493991013997723
9942,-1.4929043719357242
9943,-1.4914785178216776
9944,-1.489714873451623
9945,-1.4876151691565078
9946,-1.4851814391826206
9947,-1.4824160164473559
9948,-1.4793215265717512
9949,-1.475900881162065
9950,-1.4721572703589656
9951,-1.4680941546986774
9952,-1.463715256489389
9953,-1.4590245506082862
9954,-1.4540262547524885
9955,-1.4487248192097821
9956,-1.4431249161970405
9957,-1.4372314287226762
9958,-1.4310494392554487
9959,-1.4245842180072592
9960,-1.4178412109401441
9961,-1.4108260276660693
9962,-1.4035444291000805
9963,-1.3960023149870686
9964,-1.3882057114883424
9965,-1.3801607586173945
9966,-1.3718736977408708
9967,-1.363350859200396
9968,-1.3545986499258913
9969,-1.3456235412682505
9970,-1.336432057028503
9971,-1.327030761601277
9972,-1.317426248450302
9973,-1.307625128846007
9974,-1.2976340208356123
9975,-1.2874595386161225
9976,-1.2771082822276414
9977,-1.2665868275734353
9978,-1.2559017168830617
9979,-1.245059449545324
9980,-1.2340664733375029
9981,-1.222929176106183
9982,-1.2116538778602353
9983,-1.2002468232988481
9984,-1.1887141747817282
9985,-1.1770620057414607
9986,-1.165296294540002
9987,-1.1534229187473566
9988,-1.1414476498778592
9989,-1.1293761485520648
9990,-1.1172139600596873
9991,-1.1049665103760862
9992,-1.092639102567436
9993,-1.080236913574914
9994,-1.0677649914304983
9995,-1.0552282528140784
9996,-1.042631480965664
9997,-1.029979323992726
9998,-1.0172762934678634
9999,-1.0045267633543282
10000,-0.9917349692798237
10001,-0.9789050080511768
10002,-0.9660408374665824
10003,-0.9531462764252449
10004,-0.9402250052202733
10005,-0.9272805660939489
10006,-0.9143163640723191
10007,-0.9013356679172365
10008,-0.8883416112876826
10009,-0.875337194125238
10010,-0.8623252841669955
10011,-0.8493086185883614
10012,-0.836289805827368
10013,-0.8232713275323497
10014,-0.8102555405701602
10015,-0.7972446791817639
10016,-0.7842408572351065
10017,-0.771246070514889
10018,-0.7582621991090001
10019,-0.7452910098673043
10020,-0.7323341588810123
10021,-0.7193931940169166
10022,-0.7064695574943568
10023,-0.6935645884763207
10024,-0.6806795256801359
10025,-0.6678155100059814
10026,-0.6549735871684506
10027,-0.6421547103256153
10028,-0.6293597427044989
10029,-0.6165894602148183
10030,-0.6038445540498227
10031,-0.5911256332653048
10032,-0.5784332273318911
10033,-0.5657677886687903
10034,-0.5531296951427913
10035,-0.5405192525283856
10036,-0.5279366969433655
10037,-0.5153821972435383
10038,-0.5028558573700758
10039,-0.4903577186639812
10040,-0.4778877621401604
10041,-0.4654459107072361
10042,-0.45303203134749404
10043,-0.4406459372626807
10044,-0.42828738996405535
10045,-0.4159561012969299
10046,-0.40365173545224226
10047,-0.39137391092311147
10048,-0.37912220240557615
10049,-0.3668961426437153
10050,-0.3546952242620274
10051,-0.34251890153334713
10052,-0.33036659209439945
10053,-0.3182376786240277
10054,-0.30613151049697057
10055,-0.2940474053784238
10056,-0.281984650768959
10057,-0.26994250553222243
10058,-0.2579202013787114
10059,-0.24591694430622965
10060,-0.2339319159974976
10061,-0.2219642752073439
10062,-0.2100131591025294
10063,-0.19807768456647273
10064,-0.18615694947788147
10065,-0.17425003397113922
10066,-0.162356001660241
10067,-0.15047390083252654
10068,-0.13860276563152665
10069,-0.12674161721455435
10070,-0.11488946488683333
10071,-0.10304530721393307
10072,-0.09120813312899288
10073,-0.07937692301776662
10074,-0.0675506497878652
10075,-0.05572827992989175
10076,-0.043908774573860464
10077,-0.0320910905324381
10078,-0.020274181335824436
10079,-0.008456998254975416
10080,0.0033615086544166693
10081,0.015182389526309077
10082,0.027006693654297843
10083,0.038835468465254666
10084,0.05066975847655
10085,0.06251060425249243
10086,0.07435904135346025
10087,0.08621609927982207
10088,0.09808280039854189
10089,0.10996015885469283
10090,0.12184917947245832
10091,0.13375085663968994
10092,0.14566617317549296
10093,0.157596099170425
10094,0.16954159081078662
10095,0.1815035891785366
10096,0.19348301903041826
10097,0.20548078754102472
10098,0.21749778302273365
10099,0.22953487361516808
10100,0.24159290594856714
10101,0.2536727037664103
10102,0.26577506651367777
10103,0.2779007678924174
10104,0.2900505543830866
10105,0.302225143727437
10106,0.3144252233591777
10107,0.3266514488042881
10108,0.33890444203835685
10109,0.35118478981096746
10110,0.3634930419003779
10111,0.3758297093389713
10112,0.3881952625905501
10113,0.4005901296976611
10114,0.41301469435415156
10115,0.4254692939373675
10116,0.4379542174976582
10117,0.4504697037131623
10118,0.46301593878652514
10119,0.4755930542706019
10120,0.48820112487184464
10121,0.5008401662071974
10122,0.5135101325357617
10123,0.5262109143837713
10124,0.5389423361686024
10125,0.5517041537734911
10126,0.5644960521202553
10127,0.5773176426322371
10128,0.5901684606911698
10129,0.603047963064484
10130,0.6159555253358338
10131,0.6288904392692695
10132,0.6418519101259926
10133,0.6548390540001251
10134,0.6678508951464128
10135,0.6808863633205215
10136,0.693944291017098
10137,0.7070234107843629
10138,0.7201223525324163
10139,0.7332396409107977
10140,0.7463736925932832
10141,0.7595228136511453
10142,0.772685196960737
10143,0.7858589197025461
10144,0.7990419408470892
10145,0.8122320987011208
10146,0.8254271085607178
10147,0.838624560459017
10148,0.8518219170147451
10149,0.8650165113160276
10150,0.8782055449865395
10151,0.8913860863699326
10152,0.9045550688815505
10153,0.9177092894653758
10154,0.9308454072558872
10155,0.9439599424217701
10156,0.9570492751989994
10157,0.9701096451524657
10158,0.9831371506657232
10159,0.9961277486744402
10160,1.009077254631831
10161,1.0219813427512274
10162,1.034835546593328
10163,1.047635259907555
10164,1.0603757377906986
10165,1.0730520982118235
10166,1.085659323880414
10167,1.0981922644355597
10168,1.1106456389842567
10169,1.1230140391640235
10170,1.1352919325000386
10171,1.1474736661261573
10172,1.1595534710306863
10173,1.171525466714527
10174,1.1833836662290824
10175,1.195121981603555
10176,1.2067342299099255
10177,1.218214139650909
10178,1.2295553575114462
10179,1.2407514556958439
10180,1.2517959397274763
10181,1.262682256600907
10182,1.2734038032926673
10183,1.283953935930093
10184,1.2943259792380999
10185,1.3045132363070486
10186,1.3145089988372163
